Day,Topic,Hands-on Exercise,Python DSA Challenge,CKA Prep Task,Free Resources
44,Python DSA Challenge: BFS Graph Traversal,,Implement BFS in Python,,https://www.geeksforgeeks.org/breadth-first-search-or-bfs-for-a-graph/
45,Kubernetes Resource Management,Set resource requests/limits and test pod eviction,,,
46,Terraform Modules,Create reusable Terraform modules for infrastructure,,,
47,Kubernetes Cluster Upgrade Lab,Simulate upgrading Kubernetes cluster (minikube or kind),,CKA upgrade scenario,https://kubernetes.io/docs/tasks/administer-cluster/cluster-upgrade/
48,Ansible Dynamic Inventory,Use AWS or GCP inventory plugin with Ansible,,,
49,Python DSA Challenge: DFS Graph Traversal,,Implement DFS in Python,,https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph/
50,Kubernetes etcd Backup & Restore,Perform etcd backup/restore,,CKA Backup/Restore labs,https://kubernetes.io/docs/tasks/administer-cluster/configure-upgrade-etcd/
51,Advanced CI/CD – Blue-Green Deployment,Implement blue-green strategy on Kubernetes with CI/CD,,,
52,Kubernetes High Availability Concepts,Understand HA setup, simulate node failures,,,
53,ELK Stack in Kubernetes,Deploy Elasticsearch + Kibana + Logstash for logs,,,
54,Python DSA Challenge: Heap Implementation,,Implement Max Heap in Python,,https://www.geeksforgeeks.org/heap-data-structure/
55,Kubernetes Troubleshooting Scenarios,Simulate and fix pod scheduling failures,,CKA Troubleshooting labs,https://kubernetes.io/docs/tasks/debug/
56,Taint & Tolerations in Kubernetes,Apply taints to nodes and schedule tolerant pods,,,
57,Kubernetes Affinity & Anti-Affinity,Set pod placement rules,,,
58,Terraform Cloud/Enterprise Intro,Store state in Terraform Cloud,,,
59,Python DSA Challenge: Priority Queue,,Implement Priority Queue in Python,,https://docs.python.org/3/library/queue.html
60,GCP IAM for DevOps,Create service accounts, roles, permissions,,,
61,Kubernetes API Access,Use kubectl proxy and API calls,,,
62,Prometheus Alerting Rules,Create alerts and integrate with Alertmanager,,,
63,Python DSA Challenge: Linked List Implementation,,Implement Singly Linked List in Python,,https://www.geeksforgeeks.org/linked-list-set-1-introduction/
64,Kubernetes Audit Logs,Enable and explore audit logs,,,
65,CI/CD with ArgoCD,Install and deploy GitOps pipeline with ArgoCD,,,
66,Kubernetes Admission Controllers,Test PodSecurityPolicy or OPA Gatekeeper,,,
67,Node Maintenance in Kubernetes,Drain nodes and reschedule pods,,,
68,Python DSA Challenge: Doubly Linked List,,Implement Doubly Linked List in Python,,https://www.geeksforgeeks.org/doubly-linked-list/
69,Terraform Workspaces,Use workspaces for multiple environments,,,
70,Kubernetes Custom Resources,Create a CRD and custom controller (Kubebuilder basic),,,
71,Service Mesh – Istio Basics,Install Istio and deploy sample app,,,
72,Kubernetes Canary Deployments,Use Istio or Argo Rollouts for canary release,,,
73,Python DSA Challenge: Detect Cycle in Linked List,,Implement cycle detection algorithm,,https://leetcode.com/problems/linked-list-cycle/
74,Kubernetes Backup with Velero,Backup/restore cluster resources and volumes,,,
75,Kubernetes Metric Server & HPA,Install metrics server, configure HPA for scaling,,,
76,CI/CD Pipeline Final Project Phase 1,Start building final integrated pipeline,,,
77,Python DSA Challenge: Graph AdjList Implementation,,Implement Graph as adjacency list,,https://www.programiz.com/dsa/graph-adjacency-list
78,Advanced Monitoring Dashboards,Custom Grafana dashboards for app metrics,,,
79,Kubernetes Troubleshooting Final Lab 1,Complex troubleshooting scenario with multiple issues,,,
80,CloudFormation for DevOps,Replicate a Terraform config in AWS CloudFormation,,,
81,Capstone Project – Kubernetes Microservices Setup,Set up multi-service app in Kubernetes,,,
82,Capstone Project – CI/CD Integration,Integrate Jenkins/GitLab CI/ArgoCD with project,,,
83,Python DSA Challenge: Topological Sort,,Implement Topological Sort,,https://www.geeksforgeeks.org/topological-sorting/
84,Capstone Project – Monitoring & Logging,Add Prometheus, Grafana, ELK stack to project,,,
85,Capstone Project – Security & RBAC,Configure Role-based access and secrets mgmt,,,
86,Capstone Project – Scaling & Resilience,Implement autoscaling and simulate node crashes,,,
87,Kubernetes CKA Mock Exam 1,Timed practice exam from KodeKloud,,KodeKloud CKA Mock Exam 1,
88,Python DSA Challenge: Dijkstra’s Algorithm,,Implement Dijkstra’s algorithm in Python,,https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm/
89,Kubernetes CKA Mock Exam 2,Second timed practice exam from KodeKloud,,KodeKloud CKA Mock Exam 2,
90,Kubernetes Disaster Recovery Drill,Simulate cluster failure and recovery,,,
91,Capstone Project – GitOps Finalization,Implement final GitOps workflow with ArgoCD,,,
92,Kubernetes API Aggregation Layer,Test extending Kubernetes API,,,
93,Python DSA Challenge: Kruskal’s Algorithm,,Implement Kruskal’s MST algorithm,,https://www.geeksforgeeks.org/kruskals-algorithm/
94,Kubernetes Final Troubleshooting,All-in-one troubleshooting challenge,,,
95,CKA Certification Review Day 1,Review core concepts: Networking, Storage, Security,,,
96,CKA Certification Review Day 2,Review Deployments, Scheduling, Cluster Maintenance,,,
97,CKA Certification Review Day 3,Full practice on KodeKloud Lightning Labs,,,
98,CKA Certification Review Day 4,Do final timed mock exam and review weak areas,,,
99,Capstone Project – Documentation & Automation Scripts,Document infrastructure, write helper scripts,,,
100,Final Day – Present/Submit Project & Take CKA Exam,Complete certification exam and wrap up,,,
